Step,Month,USI,Gini,Average_Trust,S_R,S_I,S_O,Water_Supply,Food_Supply,Elec_Supply,Total_Demand,Total_Supply,Active_Shocks,Cooperating_Pct
0,1,0.7302666563889677,0.20542495227655944,0.6604285401519733,0.46606303768045726,0.7945750477234406,1.0,428.65033999999997,30.24,564.2,459863.05,428.65033999999997,[],1.0
1,2,0.7203535574923786,0.20542495227655944,0.6207761445656167,0.46606303768045726,0.7945750477234406,1.0,428.65033999999997,33.13,544.9,459863.05,428.65033999999997,[],1.0
2,3,0.6274111242586047,0.20542495227655722,0.4158804293763883,0.29921358671347914,0.7945750477234428,0.9999754332211082,239.29960449999996,30.90305,635.3087,459863.05,239.29960449999996,['drought'],0.71
3,4,0.5524622642997246,0.20542495227655655,0.1097602666847072,0.3076553493480287,0.7945750477234435,0.9978583934427189,246.05100399999995,28.3222,622.2787999999999,459863.05,246.05100399999995,"['drought', 'economic_crisis']",0.0
4,5,0.5416456311273701,0.20542495227655033,0.05273664329357688,0.32453887461712777,0.7945750477234497,0.9947319588753262,259.55380299999996,27.991049999999998,564.28195,459863.05,259.55380299999996,"['drought', 'economic_crisis']",0.0
5,6,0.5910047151703162,0.20542495227655566,0.01494049608241798,0.560851645288744,0.7945750477234443,0.9936516715866586,448.54773599999993,26.3549,643.153,459863.05,448.54773599999993,"['drought', 'economic_crisis']",0.0
6,7,0.5855596084950111,0.205424952276555,0.0,0.5517994381017348,0.794575047723445,0.9958639481548645,441.30812625,26.6408025,615.9403884374999,459863.05,441.30812625,"['drought', 'flood', 'economic_crisis']",0.0
7,8,0.5967146698308619,0.20542495227655366,0.0,0.5932084709784794,0.7945750477234463,0.9990751606215218,474.42548999999997,26.3646,632.009,459863.05,474.42548999999997,"['flood', 'economic_crisis']",0.0
8,9,0.600675539899849,0.20542495227655921,0.0,0.6086164832116865,0.7945750477234408,0.9995106286642688,486.7482299999999,27.7992,561.0880000000001,459863.05,486.7482299999999,['flood'],0.0
9,10,0.5533882574065534,0.20542495227655744,0.0,0.41943402497765364,0.7945750477234426,0.9995439569251172,385.76442,35.36,516.7,459863.05,385.76442,[],0.0
10,11,0.5534314117463822,0.20542495227655744,0.0,0.41943402497765364,0.7945750477234426,0.9997165742844327,385.76442,33.67,512.1,459863.05,385.76442,[],0.0
11,12,0.5533957680920667,0.20542495227655744,0.0,0.41943402497765364,0.7945750477234426,0.9995739996671706,385.76442,33.13,544.2,459863.05,385.76442,[],0.0
